signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
FUS_KO,1,0.0613,NSC 3852,BRD-K13169950,VCAP,10.0,24.0,,
FUS_KO,2,0.0613,Narciclasine,BRD-K06792661,MCF7,10.0,6.0,,
FUS_KO,3,0.0613,vorinostat,BRD-K81418486,PC3,10.0,6.0,,
FUS_KO,4,0.0566,MG-132,BRD-K60230970,VCAP,10.0,24.0,,
FUS_KO,5,0.0566,vorinostat,BRD-K81418486,A673,11.1,6.0,,
FUS_KO,6,0.0566,-666,BRD-A94756469,A549,10.0,24.0,,
FUS_KO,7,0.0566,mitoxantrone,BRD-K21680192,PC3,1.11,24,,
FUS_KO,8,0.0519,EMETINE,BRD-A25687296,HCC515,10.0,6.0,,
FUS_KO,9,0.0519,manumycin A,BRD-K78599730,A375,10.0,24.0,,
FUS_KO,10,0.0519,Narciclasine,BRD-K06792661,A549,10.0,6.0,,
FUS_KO,11,0.0519,Narciclasine,BRD-K06792661,HCC515,10.0,6.0,,
FUS_KO,12,0.0519,METHYLENE BLUE,BRD-K16406336,MCF7,10.0,24.0,,
FUS_KO,13,0.0519,YM-155,BRD-K76703230,PC3,0.31,24.0,,
FUS_KO,14,0.0519,NCGC00188536-01,BRD-A09719808,PC3,10.0,6.0,,
FUS_KO,15,0.0519,-666,BRD-K99633092,A375,10.0,6.0,,
FUS_KO,16,0.0519,trichostatin A,BRD-A19037878,NPC,10.0,24.0,,
FUS_KO,17,0.0519,-666,BRD-K53308430,VCAP,10.0,24.0,,
FUS_KO,18,0.0519,CGP-60474,BRD-K79090631,A549,0.37,24,,
FUS_KO,19,0.0519,selumetinib,BRD-K57080016,HME1,10,24,,
FUS_KO,20,0.0519,CGP-60474,BRD-K79090631,LNCAP,3.33,24,,
FUS_KO,21,0.0472,Anisomycin,BRD-K91370081,HA1E,10.0,6.0,,
FUS_KO,22,0.0472,Cycloheximide,BRD-A62184259,HCC515,10.0,6.0,,
FUS_KO,23,0.0472,Ro 28-1675 ?,BRD-K21672174,A549,160.0,6.0,,
FUS_KO,24,0.0472,"Ingenol 3, 20-dibenzoate",BRD-A52650764,A673,10.0,6.0,,
FUS_KO,25,0.0472,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HA1E,80.0,6.0,,
FUS_KO,26,0.0472,Narciclasine,BRD-K06792661,HCC15,10.0,6.0,,
FUS_KO,27,0.0472,Narciclasine,BRD-K06792661,HT29,10.0,6.0,,
FUS_KO,28,0.0472,Importazole,BRD-A02481876,MCF7,60.0,24.0,,
FUS_KO,29,0.0472,Salermide,BRD-A67788537,MCF7,120.0,24.0,,
FUS_KO,30,0.0472,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,6.0,,
FUS_KO,31,0.0472,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,6.0,,
FUS_KO,32,0.0472,-666,BRD-K77547920,VCAP,10.0,24.0,,
FUS_KO,33,0.0472,-666,BRD-A93236127,A549,10.0,24.0,,
FUS_KO,34,0.0472,-666,BRD-K96076993,A375,10.0,6.0,,
FUS_KO,35,0.0472,JNK-IN-5A,BRD-K76401790,HEPG2,10,24,,
FUS_KO,36,0.0472,pelitinib,BRD-K08799216,HA1E,10,24,,
FUS_KO,37,0.0472,PLX-4720,BRD-K16478699,HEPG2,10,24,,
FUS_KO,38,0.0472,JNK-9L,BRD-K19220233,A375,10,24,,
FUS_KO,39,0.0472,QL-XII-47,BRD-K99252563,A549,10,24,,
FUS_KO,40,0.0472,withaferin-a,BRD-K88378636,MCF7,10,24,,
FUS_KO,41,0.0472,withaferin-a,BRD-K88378636,SKBR3,3.33,24,,
FUS_KO,42,0.0472,AZ20,BRD-K42436189,A375,3.33,24,,
FUS_KO,43,0.0425,SERICETIN DIMETHYL ETHER,BRD-K08714182,VCAP,10.0,24.0,,
FUS_KO,44,0.0425,PERIPLOCYMARIN,BRD-A45333398,A549,10.0,6.0,,
FUS_KO,45,0.0425,BI 2536,BRD-K64890080,CORL23,10.0,6.0,,
FUS_KO,46,0.0425,PNU 74654,BRD-K30707190,HEPG2,80.0,6.0,,
FUS_KO,47,0.0425,ABT-751,BRD-K91623615,MCF7,10.0,24.0,,
FUS_KO,48,0.0425,4-Demethoxydaunorubicin hydrochloride (65),BRD-A71390734,NCIH2073,0.08,6.0,,
FUS_KO,49,0.0425,Narciclasine,BRD-K06792661,PC3,10.0,6.0,,
FUS_KO,50,0.0425,-666,BRD-A36630025,SW620,0.35,6.0,,
